Country_Code,Country_Name,Year,GDP_per_Capita_USD,KM_Railway_per_1000_sq_km,Population_Density_sq_km,Land_Area_sq_km,Houshold_Transport,Household_Vehicle_Purchases,Household_Operation_Personal,Household_Transport_Services,Rail_Invest_USD
RUS,Russian Federation,2011,14311.064453125,5.0,8.72944024102286,16376870.0,12.24615001421,41.589936692985,35.634929179162,22.775134127853,10560876159.929522
RUS,Russian Federation,2012,15420.859375,5.0,8.74414469920076,16376870.0,12.030558828535,42.695549016876,33.707854139355,23.596596843768,11977527315.230862
RUS,Russian Federation,2013,15974.6220703125,5.0,8.76278525750037,16376870.0,11.379366006462,38.481313406395,36.786968870609,24.731720084314,10472001139.67116
SRB,Serbia,2006,4382.61727851692,43.1,84.742385090327,87460.0,11.993557202051,16.842123015863,65.579670333882,17.578206650255,4219974.673499581
SRB,Serbia,2007,5848.47640545105,43.1,84.3994854790761,87460.0,11.603954855699,18.201075481718,64.155065885283,17.643858632998,2327797.032302582
SRB,Serbia,2008,7101.04014116862,43.1,84.0409558655385,87460.0,12.266813946085,17.455743668608,66.295569301595,16.248687029797,2548920.4110100423
SRB,Serbia,2009,6169.11419477823,43.1,83.7046306883147,87460.0,12.517971151106,19.560774495241,64.744912076348,15.69431342841,6059019.129486958
SRB,Serbia,2010,5735.42285659849,43.2,83.3688085982163,87460.0,12.870057239963,17.819900839758,66.846399713993,15.333699446249,13103416.1019816
SRB,Serbia,2011,6809.15980400146,43.2,82.7132289046421,87460.0,12.58422999766,15.522251326363,69.311239880876,15.166508792761,7482106.535013116
SRB,Serbia,2012,6015.94522756969,43.2,82.3127944203064,87460.0,12.60404884027,17.185379873287,66.352244758182,16.462375368531,3154199.0922747883
SRB,Serbia,2013,6755.07367461629,43.2,81.9132403384404,87460.0,11.920766728986,16.448103727568,65.586076589766,17.965848057023,9982543.7026451
SRB,Serbia,2014,6600.05621129155,43.2,81.529567802424,87460.0,11.937037838424,15.722261738885,66.028426941424,18.249311319691,12597793.72243189
SRB,Serbia,2015,5588.9794435877,42.6,81.1271781385776,87460.0,11.535446961431,16.664543050999,63.843850539929,19.491634850353,88897073.38454515
SRB,Serbia,2016,5765.20335248009,42.6,80.7034301394923,87460.0,11.598915521952,17.681225077327,62.277552159876,20.041222762797,78453459.24774656
SRB,Serbia,2017,6292.5465490011,42.6,80.275074319689,87460.0,11.867477121413,18.851771917983,62.170589991643,18.977638090374,48167219.582618766
SRB,Serbia,2019,7417.20660836868,42.6,79.4104161902584,87460.0,12.747333402563,19.731393304488,62.962683342098,17.305901658692,148796015.1206829
SRB,Serbia,2020,7733.80346893763,38.0,82.0445475086217,84090.0,10.701199031173,20.065079142527,65.329373431215,14.605547426257,172691324.9683569
SRB,Serbia,2021,9232.96160604855,38.1,81.2739445831847,84090.0,11.88994482706,19.209566482827,66.559920854021,14.230533188561,337073010.58633095
